EGION,TOTAL AMOUNT SPEND,,,,,,,,,,
HEAD OFFICE,53402159.91,,,,,,,,,,
GAUTENG,20546435.70,,,,,,,,,,
WESTEN CAPE,31819147.82,,,,,,,,,,
EASTEN CAPE,10240353.52,,,,,,,,,,
LIMPOPO MPUMALANGA AND NOTHWEST,11095455.88,,,,,,,,,,
FEESTATE AND NOTHEN CAPE EGION,8071331.90,,,,,,,,,,
KWAZULU NATAL,26434006.23,,,,,,,,,,
TOTAL AMOUNT,127103552.83,,,,,,,,,,
HEAD OFFICE,,,,,,,,,,,
ITEM DESCIPTION,SUPPLIE NAME,COMPANY EGISTATION NO,POCUEMENT POCESS FOLLOWED,ODE DATE,UNIT OF MEASUE,UNIT PICE,ODE QUANTITY,TOTAL PICE,,,
Amathole,Decontamination,Othie PCS Pojects,2018/394311/07,Pice quotation below 30 000.00,2020-07-28,21226.00,,,,,
Amathole,Decontamination,Magamve Management,2011/111818/07,Pice quotation below 30 000.01,Thusday May 28 2020,29400.00,,,,,
Amathole,Disposable scub suit,Gibela Tade & Invest,2006/009815/23,Tansvesal Contact (T32),Fiday Mach 27 2020,8595.00,,,,,
Amathole,Disposable Sugical Gloves,Mdazane Investments,2018/561785/07,Pice quotation below 30 000.00,2020-06-09,900.00,,,,,
Amathole,disposable Sugical Masks,Mdazane Investments,2018/561785/07,Pice quotation below 30 000.00,2020-06-09,6240.00,,,,,
Amathole,E-thick bleach sodium hypochloide,Eddas Tading,2015/204423/07,Pice quotation below 30 000.00,Thusday Apil 16 2020,3400.00,,,,,
Amathole,E-thick bleach sodium hypochloide,Eddas Tading,2015/204423/07,Pice quotation below 30 000.00,Thusday Apil 30 2020,10400.00,,,,,
Amathole,Gloves disposable,Watlington Tading,2011/053816/23,Pice quotation below 30 000.00,Fiday July 24 2020,25000.00,,,,,
Amathole,Gloves Pemie nitile,Fundam A Tading,2015/245341/07,Pice quotation below 30 000.00,Satuday Apil 4 2020,26000.00,,,,,
Amathole,Goggles safety clea,Mdazane Investments,2018/561785/07,Pice quotation below 30 000.00,2020-06-09,7000.00,,,,,
Amathole,Goggles safety clea,Alfehutch Tading,2008/130764/23,Tansvesal Contact (T32),Fiday Mach 27 2020,249250.00,,,,,
Amathole,Initial foam hand sanitise 70 % alcohol multipupose antibacteial foam,entokil Initial,1967/013286/07,Petty Cash,Wednesday Mach 18 2020,1610.00,,,,,
Amathole,Lepu LF30B Infaed themomete,Class Thee Medical Solutions,2017/535986/07,Pice quotation below 30 000.00,Thusday Apil 16 2020,6064.41,,,,,
Amathole,Libety select examination gloves - Lightly powdeed.,Algoa Plastics,1987/016715/23,Petty Cash,Monday Apil 6 2020,1335.00,,,,,
Amathole,Mask sugical fluid esistant,Ndindi &Yongs,2017/175166/07,Pice quotation below 30 000.00,2020-07-22,28950.00,,,,,
Amathole,Medical Hand Sanitize 70% alcohol,Mdazane Investments,2018/561785/07,Pice quotation below 30 000.00,2020-06-09,6750.00,,,,,
Amathole,Pape towels 'Po wipe',Pomed Technologies,2014/162486/07,Tansvesal Contact (T14),Thusday Mach 19 2020,52500.00,,,,,
Amathole,Pape Towels 'Po wipe',Pomed Technologies,2014/162486/07,Tansvesal Contact (T32),Monday Mach 30 2020,10900.00,,,,,
Amathole,Pemie nitile,Fundam A Tading,2015/245341/07,Pice quotation below 30 000.00,Fiday Mach 20 2020,10350.00,,,,,
Amathole,Sanitize 5 lite,Vital Life,2015/448013/07,Tansvesal Contact (T296-10/014),Thusday May 28 2020,43700.00,,,,,
Amathole,Sanitize hand 70% alcohol,BAS Phamaceuticals Industy,2014/095914/07,Tansvesal Contact (T300),Fiday July 24 2020,33160.00,,,,,
Amathole,Sanitize hand 70% alcohol,Eagles Eye Expess,2017/188014/07,Pice quotation below 30 000.01,2020-07-22,29599.80,,,,,
Kikwood,Biocide Bleach: No Banding,Qualipham,1997/052217/23,CONTACT HP 08-2017SSP,Monday Mach 23 2020,3508.50,,,,,
Kikwood,Biocide Bleach: No Banding,Qualipham,1997/052217/23,CONTACT HP 08-2017SSP,Monday Mach 23 2020,5281.50,,,,,
Kikwood,Body Bags,Taa Healthcae,2019/237077/07,TCOVID19-014,Wednesday 26 June 2020,10500.00,,,,,
Kikwood,BP Cuffs: Class Thee Medical Solutions,Class Thee Medical Solutions,2017/535986/07,T2,Thusday Mach 19 2020,483.00,,,,,
Kikwood,BP Cuffs: Class Thee Medical Solutions,Class Thee Medical Solutions,2017/535986/07,T2,Thusday Mach 19 2020,292.33,,,,,
Kikwood,BP Cuffs: Class: No Banding,Class Thee Medical Solutions,2017/535986/07,T2,Tuesday Mach 31 2020,322.00,,,,,
Kikwood,BP Cuffs: Class: No Banding,Class Thee Medical Solutions,2017/535986/07,T2,Tuesday Mach 31 2020,198.22,,,,,
Kikwood,BP Machine: Class No Banding,Class Thee Medical Solutions,2017/535986/07,T2,Tuesday Mach 31 2020,18418.40,,,,,
Kikwood,BP Machine: Class Thee Medical Solutions,Class Thee Medical Solutions,2017/535986/07,T2,Thusday Mach 19 2020,27627.60,,,,,
Kikwood,Digital Themomete,Multisuge,2014/170364/07,TCOVID19-018,Fiday Mach 20 2020,13800.00,,,,,
Kikwood,Disposable Apons: LDE Apons,New Heights,2019/467590/07,DEVIATION POCUEMENT METHOD,Fiday Apil 17 2020,45600.00,,,,,
Kikwood,Disposable Apons: No Banding,Cental Medical,1995/003785/07,T32,Tuesday Mach 17 2020,960.00,,,,,
Kikwood,Disposable Apons: No Banding,Cental Medical,1995/003785/07,T32,Wednesday Mach 18 2020,2720.00,,,,,
Kikwood,Disposable Gowns: No Banding,Multisuge,2014/170364/07,TCOVID19-015,Monday 24 June 2020,184000.00,,,,,
Kikwood,Disposable ed Bags: Flowe- PAC,New Heights,2019/467590/07,DEVIATION POCUEMENT METHOD,Fiday Apil 17 2020,13500.00,,,,,
Kikwood,Disposable ed Bags: No Banding,Pomed Technology,2014/162486/07,T COVID19-010,Monday Mach 30 2020,26800.00,,,,,
Kikwood,Face Shield: Unpacked,Exta Dimentions,2001/02881/23,DEVIATION POCUEMENT METHOD,Thusday Mach 26 2020,5175.00,,,,,
Kikwood,Fumigation of Logistic Stoes,Mast Pest Contol,Sole Popietoship,QUOTATION/SEVICE,Wednesday 29 Apil 2020,17400.00,,,,,
Kikwood,Gloves Disposable: Medi-Mate,Exta Dimentions,2001/02881/23,DEVIATION POCUEMENT METHOD,Thusday Mach 26 2020,35880.00,,,,,
Kikwood,Gloves Sugical: Haylad,Fesh and Clean,2002/096275/23,DEVIATION POCUEMENT METHOD,Wednesday 20 May 2020,29400.00,,,,,
Kikwood,Googles,Multisuge,2014/170364/07,TCOVID19-015,Monday 24 June 2020,28750.00,,,,,
Kikwood,Hand Sanitize: FLEXXI SAN 09,Exta Dimentions,2001/028681/23,DEVIATION POCUEMENT METHOD,Thusday Mach 26 2020,215625.00,,,,,
Kikwood,Hand Sanitize: No Banding,Bass Phamaceuticals Ind,2012/056577/07,T300,Tuesday Mach 17 2020,15920.00,,,,,
Kikwood,Hand Sanitize: No Banding,Bass Phamaceuticals Ind,2012/056577/07,T300,Monday Mach 23 2020,16081.80,,,,,
Kikwood,Hand Sanitize: No Banding,Bass Phamaceuticals Ind,2012/056577/07,T300,Wednesday Mach 18 2020,15601.60,,,,,
Kikwood,High isk Gloves (ubbe Handle),Multisuge,2014/170364/07,TCOVID19-015,Monday 24 June 2020,10350.00,,,,,
Kikwood,Linen Saves: No Banding,Meddeg Technology,2003/014869/23,T32,Wednesday Mach 18 2020,2080.00,,,,,
Kikwood,Mask N95: Haylad,Lioa Medical Supplies,2011/013434/23,T32,Wednesday Mach 18 2020,6553.75,,,,,
Kikwood,Mask N95: Haylad,Sunset Book,2004/051469/23,DEVIATION POCUEMENT METHOD,Fiday Apil 17 2020,106388.10,,,,,
Kikwood,Mask N95: No Banding,Lioa Medical Supplies,2011/013434/23,T32,Tuesday Mach 17 2020,5617.50,,,,,
Kikwood,Mateee Coves: No Banding,Hospital Equipment Manufact,2000/000651/07,T24,Monday Mach 23 2020,45000.00,,,,,
Kikwood,Mateee Coves: Unpacked,Exta Dimentions,2001/02881/23,DEVIATION POCUEMENT METHOD,Thusday Mach 26 2020,45885.00,,,,,
Kikwood,Matess Bed: No Banding,KAP BEDDING,1988/070308/07,DEVIATION POCUEMENT METHOD,Thusday 14 May 2020,29756.25,,,,,
Kikwood,Non Steile Gloves: Evegeen,Exta Dimentions,2001/02881/23,DEVIATION POCUEMENT METHOD,Thusday Mach 26 2020,62790.00,,,,,
Kikwood,Non Steile Gloves: No Banding,Evegeen  Latex,2002/057771/23,T76,Tuesday Mach 17 2020,17940.00,,,,,
Kikwood,Ove Shoe Disposable: No Banding,Fesh and Clean,2002/096275/23,DEVIATION POCUEMENT METHOD,Wednesday 20 May 2020,15147.00,,,,,
Kikwood,Potective Bodysuit: No Banding,Fesh and Clean,2002/096275/23,DEVIATION POCUEMENT METHOD,Wednesday 20 May 2020,126875.00,,,,,
Kikwood,Sevice: Decontamination,Fesh and Clean,2002/096275/23,QUOTATION/SEVICE,Monday 03 June 2020,842.00,,,,,
Kikwood,Spaye Back Caying: No Banding,Eastview Tading,2007/116803/23,DEVIATION POCUEMENT METHOD,Thusday 23 Apil 2020,11445.30,,,,,
Kikwood,Sugical Gloves: No Banding,Evegeen  Latex,2002/057771/23,T76,Satuday Apil 18 2020,42900.00,,,,,
Kikwood,Sugical Mask,Business Ventue Investment No 1882,2016/003864/07,DEVIATION POCUEMENT METHOD,Monday 13 Apil 2020,46000.00,,,,,
Kikwood,Sugical Masks: No Banding,Chemical Wold-,2019/253242/07,T32,Tuesday Mach 17 2020,747.50,,,,,
Kikwood,Sugical Masks: No Banding,Chemical Wold,2019/253242/07,T32,Tuesday Mach 17 2020,747.50,,,,,
Kikwood,Sugical Masks: No Banding,Tipple N Medical Distibutos,2011/129850/07,TCOVID19-002,Monday Mach 23 2020,32550.00,,,,,
Kikwood,Sugical Masks: Unpacked,Bavoscan,2016/442334/07,DEVIATION POCUEMENT METHOD,Fiday Apil 17 2020,161000.00,,,,,
Kikwood,Sugical Masks: Unpacked,The Filing System,2007/191055/23,DEVIATION POCUEMENT METHOD,Tuesday Mach 31 2020,29900.00,,,,,
Kikwood,Sugical Scub: Kleenhand AB,Exta Dimentions,2001/02881/23,DEVIATION POCUEMENT METHOD,Thusday Mach 26 2020,74280.00,,,,,
Kikwood,Sugical Scub: No Banding,Bass Phamaceuticals Ind,2012/056577/07,T300,Tuesday Mach 17 2020,21150.00,,,,,
Kikwood,Sugical Scub: No Banding,Bass Phamaceuticals Ind,2012/056577/07,T300,Wednesday Mach 18 2020,20727.00,,,,,
Kikwood,Sugical Scub: No Banding,Bass Phamaceuticals Ind,2012/056577/07,T300,Monday Mach 23 2020,21481.60,,,,,
Lusikisiki,70% alcohol based Sanitize  Hand,Pomed Technologies,2014/162486/07,Pice quotation,Thusday Apil 16 2020,29960.00,,,,,
Lusikisiki,70% alcohol based hand sanitizes,Z MA TADING,2013/170759/07,Pice quotation,2020.07.21,29000.00,,,,,
Lusikisiki,Clea face shield,MAWOWO TADING,2017/184290/07,Pice quotation,2020.07.21,12900.00,,,,,
Lusikisiki,Covealls,KWETANE &SONS ELECTICAL &POJECTS,2017/061266/07,Pice quotation,2020.07.17,29250.00,,,,,
Lusikisiki,Disposable gowns,IMELA OLUWA TADING,2017/121087/07,Pice quotation,2020.07.17,16000.00,,,,,
Lusikisiki,Gloves sugical  -single use,Ako Tech Industies,2018/282270/07,Pice quotation,Fiday Mach 27 2020,18750.00,,,,,
Lusikisiki,Heavy duty gloves,MM SANDA TADING,2018/309948/07,Pice quotation,2020.07.21,19000.00,,,,,
Lusikisiki,Infa-ed Electonic Themometes.,Mhlaba Goup,2017/134862/07,Pice quotation,Thusday Apil 2 2020,29250.00,,,,,
Lusikisiki,Masks Sugical (each) 3 ply,Mhlaba Goup,2017/134862/07,Pice quotation,Thusday Apil 2 2020,28600.00,,,,,
Mthatha,70% alcohol based Sanitize  Hand,Ewe Pojects,2015/054348/07,Pice quotation,Tuesday Mach 31 2020,28500.00,,,,,
Mthatha,70% alcohol based hand sanitizes,"BAS PHAMACEUTICALS INDUSTIES
(PTY)LTD",20212/056577/07,T\300-2017,2020.03.25,28800.00,,,,,
Mthatha,70% alcohol based Suface sanitizes,Pomed Technologies,2014/162486/07,Pice quotation,Thusday Apil 16 2020,29700.00,,,,,
Mthatha,70% alcohol based Suface sanitizes,IMVELISO HOLDINGS,2015/339801/07,Pice quotation,2020.05.28,9954.00,,,,,
Mthatha,ACC-CHEC INSTANT KIT (with blue tooth),SANBONANI HOLDINGS (PTY)LTD,2004/000822/07,T\2-1-2016,2020.04.23,5850.00,,,,,
Mthatha,BP METE ELETONIC LCD SCEEN,SANBONANI HOLDINGS (PTY)LTD,2004/000822/07,T\2-1-2016,2020.04.23,20800.00,,,,,
Mthatha,Covealls,ZONDIPHASE,2014/172473/07,Pice quotation,2020.05.28,29250.00,,,,,
Mthatha,Covealls,MABIKA GOUP,2016/082774/07,Pice quotation,2020.07.07,27600.00,,,,,
Mthatha,DIAGNOSTIC SET GP PLUS,SANBONANI HOLDINGS (PTY)LTD,2004/000822/07,T\2-1-2016,2020.04.23,6510.00,,,,,
Mthatha,Disposable apons,AKO TECH INDUSTIES,2018/282270/07,Pice quotation,2020.04.08,29450.00,,,,,
Mthatha,Disposable gloves,Ako Tech Industies,2018/282270/07,Pice quotation,Tuesday Mach 31 2020,18750.00,,,,,
Mthatha,Disposable gloves,Pomed Technologies,2014/162486/07,T\76-2020,Thusday Apil 2 2020,59800.00,,,,,
Mthatha,Disposable gowns,Snethemba On You Sevice,2016/400946/07,Pice quotation,2020.07.06,28000.00,,,,,
Mthatha,Disposable Linen,Pomed Technologies,2014/162486/07,T\32-2019,Fiday Apil 3 2020,4360.00,,,,,
Mthatha,Gumboots,BBF SAFETY  GOUP (PTY),2012/056577/07,T\59-2019,2020.04.09,49305.00,,,,,
Mthatha,HB METE DIG inc 25 stips,SANBONANI HOLDINGS (PTY)LTD,2004/000822/07,T\2-1-2016,2020.04.23,5350.00,,,,,
Mthatha,Infa-ed Electonic Themometes.,Mhlaba Goup,2017/134862/07,Pice quotation,Fiday Apil 3 2020,29250.00,,,,,
Mthatha,Mask N95 (each),Ako Tech Industies,2018/282270/07,Pice quotation,Fiday Mach 27 2020,20100.00,,,,,
Mthatha,Masks Sugical (each) 3 ply,Mhlaba Goup,2017/134862/07,Pice quotation,Wednesday Apil 8 2020,28600.00,,,,,
Mthatha,Masks Sugical (each) 3 ply,Snethemba On You Sevice,2016/400946/07,Pice quotation,Fiday Apil 3 2020,27500.00,,,,,
Mthatha,Matess Cove fo hospitals,HOSPITAL EQUIP MANUFACTUES,2000/000651/07,T\24-2015,2020.04.08,90000.00,,,,,
Mthatha,NEBULIZE FLO Eolo,SANBONANI HOLDINGS (PTY)LTD,2004/000822/07,T\2-1-2016,2020.04.23,10950.00,,,,,
Mthatha,OXSO 60 FINGETIP PULSE OXIMETE,SANBONANI HOLDINGS (PTY)LTD,2004/000822/07,T\2-1-2016,2020.04.23,4000.00,,,,,
Mthatha,Pape towels,Pomed Technologies,2014/162486/07,T\32-2019,Wednesday Mach 25 2020,17630.00,,,,,
Mthatha,STETHOSCOPE DELUXE DUAL HEAD ADULT,SANBONANI HOLDINGS (PTY)LTD,2004/000822/07,T\2-1-2016,2020.04.23,1002.00,,,,,
SADA,Alcohol Based Hand Sanitise,NJU Pojects & Geneal Tading,2018/297547/07,TCOVID19,Thusday Mach 26 2020,4500.00,,,,,
SADA,Disposable Apon,Akotech Industies,2018/282270/07,Quotation,Thusday Apil 2 2020,15500.00,,,,,
SADA,Eye PotectionVisos GownCovealls,It Cae Chemicals Supplies,2015/102820/07,TCOVID19,2020-05-05,275000.00,,,,,
SADA,Gloves,Zondiphase,2014/172473/07,Quotation,Thusday Apil 2 2020,18750.00,,,,,
SADA,Gloves,Zondiphase,2014/172473/07,Quotation,Thusday Apil 2 2020,18750.00,,,,,
SADA,Gloves,Zondiphase,2014/172473/07,Quotation,Thusday Apil 2 2020,18750.00,,,,,
SADA,Gloves,Zondiphase,2014/172473/07,Quotation,Thusday Apil 2 2020,18750.00,,,,,
SADA,Gloves,Zondiphase,2014/172473/07,Quotation,Thusday Apil 2 2020,18750.00,,,,,
SADA,Gloves,Evegeen Latex,2002/057771/24,TCOVID19,Fiday May 8 2020,74790.00,,,,,
SADA,Gloves Latex Disposable Lage,Evegeen Latax Cc,2002/057771/23,TCOVID19,Fiday Mach 20 2020,34902.00,,,,,
SADA,N95 Mask,Labo Tading And Pojects,CK99/24159/23,Quotation,Wednesday Apil 1 2020,19320.00,,,,,
SADA,N95 Mask,Labo Tading And Pojects,CK99/24159/23,Quotation,Wednesday Apil 1 2020,19320.00,,,,,
SADA,N95 Mask,Labo Tading And Pojects,CK99/24159/23,Quotation,Wednesday Apil 1 2020,19320.00,,,,,
SADA,N95 Mask,Labo Tading And Pojects,CK99/24159/23,Quotation,Wednesday Apil 1 2020,19320.00,,,,,
SADA,N95 Mask,Motla Investment,2005/148565/23,TCOVID19,Thusday July 23 2020,18900.00,,,,,
SADA,Sanitize,Labo Tading And Pojects,CK99/24159/23,Quotation,Wednesday Apil 1 2020,25875.00,,,,,
SADA,Sanitize,Labo Tading And Pojects,CK99/24159/23,Quotation,Wednesday Apil 1 2020,25875.00,,,,,
SADA,Sanitize,Labo Tading And Pojects,CK99/24159/23,Quotation,Wednesday Apil 1 2020,25875.00,,,,,
SADA,Sanitize,Labo Tading And Pojects,CK99/24159/23,Quotation,Wednesday Apil 1 2020,25875.00,,,,,
SADA,Sanitize,Labo Tading And Pojects,CK99/24159/23,Quotation,Wednesday Apil 1 2020,25875.00,,,,,
SADA,Sanitize,Zondiphase,2014/172473/07,Quotation,Fiday Apil 3 2020,29625.00,,,,,
SADA,Sanitize,Zondiphase,2014/172473/07,Quotation,Fiday Apil 3 2020,29625.00,,,,,
SADA,Sanitize,Zondiphase,2014/172473/07,Quotation,Fiday Apil 3 2020,29625.00,,,,,
SADA,Sanitize,Zondiphase,2014/172473/07,Quotation,Fiday Apil 3 2020,29625.00,,,,,
SADA,Sanitize,Zondiphase,2014/172473/07,Quotation,Tuesday Apil 21 2020,29625.00,,,,,
SADA,Sanitize,Unitade 1032 cc,1998/002665/23,TCOVID19,2020.05.11,375200.00,,,,,
SADA,Sanitize,It Cae Chemicals Supplies,2015/102820/07,TCOVID20,2020-07-29,220000.00,,,,,
SADA,Sugical Mask,Labo Tading And Pojects,CK99/24159/23,Quotation,Thusday Apil 2 2020,17595.00,,,,,
SADA,Sugical Mask,Labo Tading And Pojects,CK99/24159/23,Quotation,Thusday Apil 2 2020,17595.00,,,,,
SADA,Sugical Mask,Labo Tading And Pojects,CK99/24159/23,Quotation,Thusday Apil 2 2020,17595.00,,,,,
SADA,Sugical Mask,Zondiphase,2014/172473/07,Quotation,Thusday Apil 2 2020,29750.00,,,,,
SADA,Sugical Mask,Zondiphase,2014/172473/07,Quotation,Thusday Apil 2 2020,29750.00,,,,,
SADA,Sugical Mask,Zondiphase,2014/172473/07,Quotation,Thusday Apil 2 2020,29750.00,,,,,
SADA,Sugical Mask,Zondiphase,2014/172473/07,Quotation,Fiday Apil 3 2020,29750.00,,,,,
SADA,Sugical Mask,Zondiphase,2014/172473/07,Quotation,Fiday Apil 3 2020,29750.00,,,,,
SADA,Sugical Mask,Zondiphase,2014/172473/07,Quotation,Fiday Apil 3 2020,29750.00,,,,,
SADA,Sugical Mask,Multisuge Pty Ltd,2014/170364/07,TCOVID19,2020-05-05,184000.00,,,,,
SADA,Sugical Mask,Motla Investment,2005/148565/23,TCOVID19,Thusday July 23 2020,204400.00,,,,,
SADA,Tempeatue Scannes,Labo Tading And Pojects,CK99/24159/23,Quotation,Wednesday Apil 1 2020,27600.00,,,,,
St Albans,Chlohexidine,Bas,2012/056577/07,Contact,Wednesday Mach 25 2020,17536.00,,,,,
St Albans,Chlohexidine,Biotech Labs,1990/007220/07,Contact,Thusday Apil 9 2020,69000.00,,,,,
St Albans,Coveal Suits: Capsule Wet,Fesh and Clean,2002/096275/23,Witten Qoutation,Wednesday Apil 8 2020,5280.00,,,,,
St Albans,Coveing Gowns:Hatman Folidis Gown,Fesh and Clean,2002/096275/23,Witten Qoutation,Wednesday Apil 8 2020,880.00,,,,,
St Albans,Damp Dust Cloths:No Banding,Zondiphase,2014/172473/07,Witten QoutationFiday Apil 10 2020,                                2676.17,,,,,,
St Albans,Decontamination,Imphepo Technologies,2015/031522/07,Witten Qoutation,Wednesday Apil 15 2020,47008.50,,,,,
St Albans,Decontamination,Imphepo Technologies,2015/031522/07,Witten Qoutation,Fiday May 29 2020,9413.25,,,,,
St Albans,Decontamination,Maste Pest Contol,6204175218082,Witten Qoutation,Thusday June 18 2020,2376.00,,,,,
St Albans,Decontamination,Kingswe IT Consultants,2012/164848/07,Witten Qoutation,2020-06-24,195050.00,,,,,
St Albans,Decontamination,Uponmanywates,2012/072018/07,Witten Qoutation,Thusday July 2 2020,5328.70,,,,,
St Albans,Decontamination,Maste Pest Contol,6204175218082,Witten Qoutation,Satuday July 4 2020,12282.50,,,,,
St Albans,Decontamination of St Albans Med B,Impepho Technologies,2015/031522/07,Witten Qoutation,Tuesday Apil 14 2020,47008.50,,,,,
St Albans,Disposable Gloves,Bansogenix,2016/062668/07,Witten Qoutation,Fiday June 12 2020,29845.00,,,,,
St Albans,Disposable Gloves: Shamock,Akhotec,2018/282270/07,Fomal Pice Qoutation,Tuesday Mach 31 2020,45000.00,,,,,
St Albans,Disposable Gloves:Max Guad,Hyman,2016/463127/07,Witten Qoutation,Wednesday Apil 15 2020,29992.00,,,,,
St Albans,Disposable Gown,Logan Medical & sugical,2012/056508/07,Contact,2020-06-08,80500.00,,,,,
St Albans,Disposable Oveall,Logan Medical & sugical,2012/056508/07,Contact,2020-06-08,120750.00,,,,,
St Albans,Disposable Oveals,Zondiphase,2014/172473/07,Witten Qoutation,Fiday Apil 10 2020,25500.00,,,,,
St Albans,Disposable Plastic Apons,egent Incopoated,2006/127102/23,Witten Qoutation,Fiday Mach 27 2020,700.00,,,,,
St Albans,Elbow Sanitize Dispenses and containes,Fesh and Clean,2002/096275/23,Witten Qoutation,Wednesday Apil 8 2020,5316.52,,,,,
St Albans,Face Shields: MAXI,Fesh and Clean,2002/096275/23,Witten Qoutation,Wednesday Apil 8 2020,806.40,,,,,
St Albans,FFP1 Masks: No Banding,Akhotec,2018/282270/07,Fomal Pice Qoutation,Tuesday Mach 31 2020,240000.00,,,,,
St Albans,FFP2 Masks: Honey Well,Zondiphase,2014/172473/07,Witten Qoutation,Wednesday Apil 1 2020,29960.00,,,,,
St Albans,Handsanitize,Biotech Labs,1990/007220/07,Contact,Thusday Apil 9 2020,69000.00,,,,,
St Albans,Mask,Adesin Ceations,2014/052306/07,Witten Qoutation,Tuesday Apil 14 2020,29988.00,,,,,
St Albans,Masks,Kamp en baai,2018/38779/07,Fomal Pice Qoutation,Thusday July 23 2020,26910.00,,,,,
St Albans,Mop Caps: No Banding,Fesh and Clean,2002/096275/23,Witten Qoutation,Wednesday Apil 8 2020,364.00,,,,,
St Albans,Phamacy Medication,Bas,2012/056577/07,Contact,Wednesday Apil 22 2020,4308.31,,,,,
St Albans,Potective suit,Impepho Technologies,2015/031522/07,Fomal Pice Qoutation,Thusday July 23 2020,198000.00,,,,,
St Albans,eusable Gloves: Dawmax,Zondiphase,2014/172473/07,Witten Qoutation,Wednesday Apil 1 2020,29960.00,,,,,
St Albans,eusable Gloves: Dawmax,Zondiphase,2014/172473/07,Witten Qoutation,Wednesday Apil 1 2020,29960.00,,,,,
St Albans,eusable Gloves: Dawmax,Zondiphase,2014/172473/07,Witten Qoutation,Thusday Apil 9 2020,29960.00,,,,,
St Albans,Sanitize,Zanolutho Bussiness Entepise,2018/602983/07,Fomal Pice Qoutation,Monday Mach 30 2020,263924.15,,,,,
St Albans,Shoe Coves,Zondiphase,2014/172473/07,Witten Qoutation,Fiday Apil 10 2020,2400.00,,,,,
St Albans,Shoe Coves: No Banding,Fesh and Clean,2002/096275/23,Witten Qoutation,Wednesday Apil 8 2020,306.09,,,,,
St Albans,Suface Cleane Spay Containes,Fesh and Clean,2002/096275/23,Witten Qoutation,Wednesday Apil 8 2020,553.04,,,,,
St Albans,Sugcal Face Masks: No Banding,Zondiphase,2014/172473/07,Witten Qoutation,Wednesday Apil 1 2020,29970.00,,,,,
St Albans,Sugical Gloves: Med Tex Gloves,egent Incopoated,2006/127102/23,Witten Qoutation,Fiday Mach 27 2020,29055.00,,,,,
St Albans,Sugical Gloves:No Banding,Zondiphase,2014/172473/07,Witten Qoutation,Fiday Apil 10 2020,28000.00,,,,,
St Albans,Sugical Mask,egent Incopoated,2006/127102/23,Witten Qoutation,Fiday Mach 27 2020,29940.00,,,,,
St Albans,Sugical Masks,The Filling System,2007/191055/23,Witten Qoutation,Monday Mach 30 2020,29900.00,,,,,
St Albans,Sugical Masks,Zondiphase,2014/172473/07,Witten Qoutation,Fiday Apil 10 2020,29960.00,,,,,
St Albans,Sugical Masks: No Banding,Hyman,2016/463127/07,Witten Qoutation,Wednesday Apil 15 2020,29989.13,,,,,
St Albans,Take away containes,Nokwinti,2014/1000659/07,Witten Qoutation,Thusday July 9 2020,19404.00,,,,,
St Albans,Take away containes,Putumuncumo,2013/197432/07,Witten Qoutation,2020-07-13,23760.00,,,,,
St Albans,Themomete,Adesin Ceations,2014/052306/07,Witten Qoutation,Tuesday Apil 14 2020,29250.00,,,,,
St Albans,Visos Helmet,Ac Technology,2017/162066/07,Contact,2020-06-03,118500.00,,,,,
East London,Sanitize 70% Alcohol,Dstnctv Business,2017/364641/07,Witten Qoutation,2020.03.27,103500.00,,,,,
East London,N95 Mask,Mhlaba Goup,2017/134862/07,CONTACT,2020.03.27,60000.00,,,,,
East London,Heavy Duty Cleaning Gloves,Fesh And Clean,2002/096275/23,Witten Qoutation,2020.04.14,1400.00,,,,,
East London,Sugical Masks: No Banding,Ewe Pojects,2015/054348/07,Witten Qoutation,2020.03.27,92400.00,,,,,
East London,Potective Ovealls,Fesh And Clean,2002/096275/23,Witten Qoutation,2020.04.14,7000.00,,,,,
East London,Shoe Coves,Fesh And Clean,2002/096275/23,Witten Qoutation,2020.4.14,273.70,,,,,
East London,Potective Ovealls,Zondi Phase,2014/172473/07,Witten Qoutation,2020.04.15,18000.00,,,,,
East London,Pape Towels,Shosho Industial,2003/009940/23,COntact,2020.03.16,2971.00,,,,,
East London,Pape Towels,Pomed,2014/142486/07,COntact,2020.03.18,1763.00,,,,,
East London,Pape Towels,Pomed,2014/142486/07,COntact,2020.03.25,840.00,,,,,
East London,Themometes,D Temp,2013/120599/07,COntact,2020.03.25,5152.00,,,,,
East London,N95 Mask,Lioa Medical,2011/013434/23,Witten Qoutation,2020.04.22,52804.50,,,,,
East London,Sanitize 70% Alcohol,Ewe Pojects,2015/054348/07,Pice quotation below 30 000.00,2020.04.01,29750.00,,,,,
East London,Sugical Masks,Mhlaba Goup,2017/134862/07,CONTACT,2020.03.30,20000.00,,,,,
East London,DISPOSABLE COVEALLS,PUPOSEVE SEVCE,,,2020.06.17,22500.00,,,,,
East London,Sanitize 70% Alcohol,lechoba medical,2005/044442/07,CONTACT,2020.05.06,72900.00,,,,,
